Account Number,Account Holder,Balance,Type,Interest Rate,Overdraft Limit
00-111-222,Usman,2500.0,Current,,5000.0
00-222-333,Abaan,3500.0,Savings,2.5,
001,Aa,2500.0,Savings,2.5,
002,bb,4500.0,Savings,2.5,
001,aa,2500.0,Savings,2.5,
001A,Usman ,1000.0,Savings,1.3,
002,Usman ul haq,500.0,Current,,2000.0
002,Usman ul haq,2500.0,Current,,250.0
00abc,ABCXZ,500.0,Savings,1.3,
2002,mnbvcxz,1200.0,Current,,5000.0
0,u,250.0,Savings,1.3,
999,umer,2500.0,Savings,1.2,
999,umer,2500.0,Savings,1.2,
1,sheikh,2.0,Savings,1.5,
